,lemma,pos,text|lemma|@id,text|sentence|@id,sentences,lexelt|sense|@id
0,document,NOUN,d000.s000.t000,d000.s000,This document is a summary of the European Public Assessment Report( EPAR).,document%1:10:00::
1,summary,NOUN,d000.s000.t001,d000.s000,This document is a summary of the European Public Assessment Report( EPAR).,summary%1:10:00::
2,european,ADJ,d000.s000.t002,d000.s000,This document is a summary of the European Public Assessment Report( EPAR).,european%3:01:00::
3,public,ADJ,d000.s000.t003,d000.s000,This document is a summary of the European Public Assessment Report( EPAR).,public%3:00:00::
4,assessment,NOUN,d000.s000.t004,d000.s000,This document is a summary of the European Public Assessment Report( EPAR).,assessment%1:04:00::
5,report,NOUN,d000.s000.t005,d000.s000,This document is a summary of the European Public Assessment Report( EPAR).,report%1:10:03::
6,explain,VERB,d000.s001.t000,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",explain%2:32:01::
7,committee,NOUN,d000.s001.t001,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",committee%1:14:00::
8,medicinal,ADJ,d000.s001.t002,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",medicinal%5:00:00:healthful:00
9,product,NOUN,d000.s001.t003,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",product%1:06:00::
10,human,ADJ,d000.s001.t004,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",human%3:01:01::
11,use,NOUN,d000.s001.t005,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",use%1:04:00::
12,assess,VERB,d000.s001.t006,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",assess%2:31:00::
13,study,NOUN,d000.s001.t007,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",study%1:04:00::
14,perform,VERB,d000.s001.t008,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",perform%2:36:00::
15,reach,VERB,d000.s001.t009,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",reach%2:38:06::
16,recommendation,NOUN,d000.s001.t010,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",recommendation%1:10:00::
17,use,VERB,d000.s001.t011,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",use%2:34:01::
18,medicine,NOUN,d000.s001.t012,d000.s001,"It explains how the Committee for Medicinal Products for Human Use( CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",medicine%1:06:00::
19,need,VERB,d000.s002.t000,d000.s002,"If you need more information about your medical condition or your treatment, read the Package Leaflet( also part of the EPAR) or contact your doctor or pharmacist.",need%2:34:01::
20,more,ADJ,d000.s002.t001,d000.s002,"If you need more information about your medical condition or your treatment, read the Package Leaflet( also part of the EPAR) or contact your doctor or pharmacist.",more%3:00:01::
21,information,NOUN,d000.s002.t002,d000.s002,"If you need more information about your medical condition or your treatment, read the Package Leaflet( also part of the EPAR) or contact your doctor or pharmacist.",information%1:14:00::
22,medical,ADJ,d000.s002.t003,d000.s002,"If you need more information about your medical condition or your treatment, read the Package Leaflet( also part of the EPAR) or contact your doctor or pharmacist.",medical%3:00:00::
23,condition,NOUN,d000.s002.t004,d000.s002,"If you need more information about your medical condition or your treatment, read the Package Leaflet( also part of the EPAR) or contact your doctor or pharmacist.",condition%1:26:05::
24,treatment,NOUN,d000.s002.t005,d000.s002,"If you need more information about your medical condition or your treatment, read the Package Leaflet( also part of the EPAR) or contact your doctor or pharmacist.",treatment%1:04:00::
25,read,VERB,d000.s002.t006,d000.s002,"If you need more information about your medical condition or your treatment, read the Package Leaflet( also part of the EPAR) or contact your doctor or pharmacist.",read%2:31:00::
26,package,NOUN,d000.s002.t007,d000.s002,"If you need more information about your medical condition or your treatment, read the Package Leaflet( also part of the EPAR) or contact your doctor or pharmacist.",package%1:14:00::
