,lemma,pos,text|lemma|@id,text|sentence|@id,sentences,lexelt|sense|@id
0,man,NOUN,d000.s000.t000,d000.s000,That 's what the man had said.,man%1:18:00::
1,say,VERB,d000.s000.t001,d000.s000,That 's what the man had said.,say%2:32:01::
2,peer,VERB,d000.s001.t000,d000.s001,"Haney peered doubtfully at his drinking companion through bleary, tear-filled eyes.",peer%2:39:00::
3,companion,NOUN,d000.s001.t001,d000.s001,"Haney peered doubtfully at his drinking companion through bleary, tear-filled eyes.",companion%1:18:00::
4,bleary,ADJ,d000.s001.t002,d000.s001,"Haney peered doubtfully at his drinking companion through bleary, tear-filled eyes.",bleary%5:00:00:indistinct:00
5,eye,NOUN,d000.s001.t003,d000.s001,"Haney peered doubtfully at his drinking companion through bleary, tear-filled eyes.",eye%1:08:00::
6,have,VERB,d000.s002.t000,d000.s002,"He had no ready answer, as much from surprise as from the fit of coughing.",have%2:40:00::
7,ready,ADJ,d000.s002.t001,d000.s002,"He had no ready answer, as much from surprise as from the fit of coughing.",ready%5:00:01:available:00
8,answer,NOUN,d000.s002.t002,d000.s002,"He had no ready answer, as much from surprise as from the fit of coughing.",answer%1:04:00::
9,much,ADJ,d000.s002.t003,d000.s002,"He had no ready answer, as much from surprise as from the fit of coughing.",much%3:00:00::
10,surprise,NOUN,d000.s002.t004,d000.s002,"He had no ready answer, as much from surprise as from the fit of coughing.",surprise%1:12:00::
11,fit,NOUN,d000.s002.t005,d000.s002,"He had no ready answer, as much from surprise as from the fit of coughing.",fit%1:26:00::
12,coughing,NOUN,d000.s002.t006,d000.s002,"He had no ready answer, as much from surprise as from the fit of coughing.",coughing%1:26:00::
13,man,NOUN,d000.s003.t000,d000.s003,Was the man drunk or crazy or both?,man%1:18:00::
14,drunk,ADJ,d000.s003.t001,d000.s003,Was the man drunk or crazy or both?,drunk%3:00:00::
15,crazy,ADJ,d000.s003.t002,d000.s003,Was the man drunk or crazy or both?,crazy%5:00:00:insane:00
16,newfound,ADJ,d000.s004.t000,d000.s004,"But his new-found buddy had matched him drink for drink until he lost count, and the man 's eyes were still clear.",newfound%5:00:00:new:00
17,buddy,NOUN,d000.s004.t001,d000.s004,"But his new-found buddy had matched him drink for drink until he lost count, and the man 's eyes were still clear.",buddy%1:18:00::
18,match,VERB,d000.s004.t002,d000.s004,"But his new-found buddy had matched him drink for drink until he lost count, and the man 's eyes were still clear.",match%2:42:00::
19,drink,NOUN,d000.s004.t003,d000.s004,"But his new-found buddy had matched him drink for drink until he lost count, and the man 's eyes were still clear.",drink%1:13:04::
20,drink,NOUN,d000.s004.t004,d000.s004,"But his new-found buddy had matched him drink for drink until he lost count, and the man 's eyes were still clear.",drink%1:13:04::
21,lose,VERB,d000.s004.t005,d000.s004,"But his new-found buddy had matched him drink for drink until he lost count, and the man 's eyes were still clear.",lose%2:40:02::
22,count,NOUN,d000.s004.t006,d000.s004,"But his new-found buddy had matched him drink for drink until he lost count, and the man 's eyes were still clear.",count%1:23:00::
23,man,NOUN,d000.s004.t007,d000.s004,"But his new-found buddy had matched him drink for drink until he lost count, and the man 's eyes were still clear.",man%1:18:00::
24,eye,NOUN,d000.s004.t008,d000.s004,"But his new-found buddy had matched him drink for drink until he lost count, and the man 's eyes were still clear.",eye%1:08:00::
25,clear,ADJ,d000.s004.t009,d000.s004,"But his new-found buddy had matched him drink for drink until he lost count, and the man 's eyes were still clear.",clear%3:00:02::
26,guy,NOUN,d000.s005.t000,d000.s005,"The guy is off his rocker, Haney thought to himself, and looked away from those eyes.",guy%1:18:00::
27,rocker,NOUN,d000.s005.t001,d000.s005,"The guy is off his rocker, Haney thought to himself, and looked away from those eyes.",rocker%1:06:01::
28,think,VERB,d000.s005.t002,d000.s005,"The guy is off his rocker, Haney thought to himself, and looked away from those eyes.",think%2:31:12::
29,look_away,VERB,d000.s005.t003,d000.s005,"The guy is off his rocker, Haney thought to himself, and looked away from those eyes.",look_away%2:39:00::
